ZIPCODE,ZC_LATITUDE,ZC_LONGITUDE,AUTONOMOUS_COMMUNITY,AUTONOMOUS_COMMUNITY_NK,PROVINCE
01001,42.85,-2.6667,Pais Vasco,PV,Álava
07119,39.6833,2.7,Baleares,IB,Illes Balears
07110,39.6833,2.7,Baleares,IB,Illes Balears
07109,39.7833,2.7333,Baleares,IB,Illes Balears
07108,39.8,2.6833,Baleares,IB,Illes Balears
07101,39.7667,2.7333,Baleares,IB,Illes Balears
07100,39.7667,2.7,Baleares,IB,Illes Balears
07080,39.5667,2.65,Baleares,IB,Illes Balears
07071,39.5667,2.65,Baleares,IB,Illes Balears
07070,39.5667,2.65,Baleares,IB,Illes Balears
07015,39.5542,2.6125,Baleares,IB,Illes Balears
07014,39.5685,2.6393,Baleares,IB,Illes Balears
07013,39.5885,2.5978,Baleares,IB,Illes Balears
07012,39.5722,2.6486,Baleares,IB,Illes Balears
07011,39.5667,2.65,Baleares,IB,Illes Balears
07010,39.5667,2.65,Baleares,IB,Illes Balears
07009,39.5833,2.675,Baleares,IB,Illes Balears
07008,39.5667,2.65,Baleares,IB,Illes Balears
07007,39.5667,2.65,Baleares,IB,Illes Balears
07006,39.5667,2.65,Baleares,IB,Illes Balears
07005,39.5667,2.65,Baleares,IB,Illes Balears
07004,39.5667,2.65,Baleares,IB,Illes Balears
07003,39.575,2.6527,Baleares,IB,Illes Balears
07002,39.5667,2.65,Baleares,IB,Illes Balears
07001,39.5702,2.6518,Baleares,IB,Illes Balears
06980,38.15,-5.9,Extremadura,EX,Badajoz
06970,38.1833,-5.95,Extremadura,EX,Badajoz
06960,38.2,-5.9667,Extremadura,EX,Badajoz
06950,38.3,-6.0833,Extremadura,EX,Badajoz
06940,38.2667,-5.85,Extremadura,EX,Badajoz
06939,38.3667,-5.8333,Extremadura,EX,Badajoz
06930,38.2833,-5.8167,Extremadura,EX,Badajoz
06929,38.2333,-5.55,Extremadura,EX,Badajoz
06928,38.1167,-5.6833,Extremadura,EX,Badajoz
06927,38.2167,-5.8167,Extremadura,EX,Badajoz
06920,38.2667,-5.6833,Extremadura,EX,Badajoz
06919,38.3167,-5.5833,Extremadura,EX,Badajoz
06910,38.3167,-5.5833,Extremadura,EX,Badajoz
06909,38.1833,-6,Extremadura,EX,Badajoz
06908,38.0167,-6.0833,Extremadura,EX,Badajoz
06907,38.1167,-6.15,Extremadura,EX,Badajoz
06906,38.0833,-6.0833,Extremadura,EX,Badajoz
06900,38.2333,-6.0167,Extremadura,EX,Badajoz
06894,39.0333,-6.3333,Extremadura,EX,Badajoz
06893,38.95,-6.1833,Extremadura,EX,Badajoz
06892,38.95,-6.25,Extremadura,EX,Badajoz
06891,39,-6.2833,Extremadura,EX,Badajoz
06890,38.9167,-6.2167,Extremadura,EX,Badajoz
06880,38.9,-6.5333,Extremadura,EX,Badajoz
06870,38.9167,-6.4667,Extremadura,EX,Badajoz
06860,38.95,-6.4333,Extremadura,EX,Badajoz
06850,38.85,-6.45,Extremadura,EX,Badajoz
06840,38.7833,-6.25,Extremadura,EX,Badajoz
06830,38.9154,-6.3372,Extremadura,EX,Badajoz
06820,38.85,-6.2667,Extremadura,EX,Badajoz
06810,38.8833,-6.3833,Extremadura,EX,Badajoz
06800,38.9167,-6.3333,Extremadura,EX,Badajoz
06770,39.1,-5.3167,Extremadura,EX,Badajoz
06760,39.1,-5.4667,Extremadura,EX,Badajoz
06750,39.031,-5.6452,Extremadura,EX,Badajoz
06740,39,-5.5333,Extremadura,EX,Badajoz
06731,39.031,-5.6452,Extremadura,EX,Badajoz
06730,39.031,-5.6452,Extremadura,EX,Badajoz
06720,39.031,-5.6452,Extremadura,EX,Badajoz
06718,39.0167,-5.8,Extremadura,EX,Badajoz
06717,39.0167,-5.8,Extremadura,EX,Badajoz
06716,39.0833,-5.8,Extremadura,EX,Badajoz
06715,39.05,-5.8,Extremadura,EX,Badajoz
06714,38.9167,-5.8,Extremadura,EX,Badajoz
06713,39.0167,-5.8,Extremadura,EX,Badajoz
06712,39.0167,-5.8,Extremadura,EX,Badajoz
06711,39.0167,-5.8,Extremadura,EX,Badajoz
06710,39.0167,-5.8,Extremadura,EX,Badajoz
06700,38.9667,-5.8,Extremadura,EX,Badajoz
06692,39.2167,-4.9917,Extremadura,EX,Badajoz
06691,39.3833,-5,Extremadura,EX,Badajoz
06690,39.05,-4.9833,Extremadura,EX,Badajoz
06689,39.25,-5.1833,Extremadura,EX,Badajoz
06680,39.2833,-5.0833,Extremadura,EX,Badajoz
06679,39.1833,-5.1333,Extremadura,EX,Badajoz
06678,39.2167,-4.7833,Extremadura,EX,Badajoz
06670,39.1667,-5.05,Extremadura,EX,Badajoz
06660,39.1333,-4.9333,Extremadura,EX,Badajoz
06659,38.95,-4.9,Extremadura,EX,Badajoz
